"Series Key",EBA.SE-ALL.D.H,"Series Key",EBA.TVA-ALL.D.H
"Series Name","Demand for Southeast (region), hourly - UTC time","Series Name","Demand for Tennessee Valley Authority (TVA), hourly - UTC time"
Units,megawatthours,Units,megawatthours
Frequency,H,Frequency,H
"Start Date",20150701T06Z,"Start Date",20150701T06Z
"End Date",20211012T11Z,"End Date",20211012T11Z
Source,,Source,

20211004T00Z,29178,20211004T00Z,18728
20211003T23Z,29104,20211003T23Z,18922
20211003T22Z,29313,20211003T22Z,18912
20211003T21Z,29140,20211003T21Z,18572
20211003T20Z,29001,20211003T20Z,18195
20211003T19Z,28563,20211003T19Z,17953
20211003T18Z,27881,20211003T18Z,17546
20211003T17Z,27009,20211003T17Z,17039
20211003T16Z,25825,20211003T16Z,16621
20211003T15Z,24610,20211003T15Z,16246
20211003T14Z,23151,20211003T14Z,15567
20211003T13Z,21820,20211003T13Z,14609
20211003T12Z,21403,20211003T12Z,14057
20211003T11Z,21209,20211003T11Z,13618
20211003T10Z,21255,20211003T10Z,13581
20211003T09Z,21290,20211003T09Z,13681
20211003T08Z,21569,20211003T08Z,13811
20211003T07Z,22247,20211003T07Z,14137
20211003T06Z,22449,20211003T06Z,14623
20211003T05Z,23218,20211003T05Z,15336
20211003T04Z,24729,20211003T04Z,16163
20211003T03Z,26010,20211003T03Z,17022
20211003T02Z,27562,20211003T02Z,17747
20211003T01Z,28973,20211003T01Z,18334
20211003T00Z,29682,20211003T00Z,18585
20211002T23Z,30277,20211002T23Z,18733
20211002T22Z,31352,20211002T22Z,18999
20211002T21Z,31701,20211002T21Z,19051
20211002T20Z,31747,20211002T20Z,18992
20211002T19Z,31269,20211002T19Z,18835
20211002T18Z,30325,20211002T18Z,18453
20211002T17Z,29038,20211002T17Z,17948
20211002T16Z,27429,20211002T16Z,17276
20211002T15Z,25729,20211002T15Z,16511
20211002T14Z,24040,20211002T14Z,15695
20211002T13Z,22706,20211002T13Z,14825
20211002T12Z,22276,20211002T12Z,14189
20211002T11Z,22015,20211002T11Z,13936
20211002T10Z,21995,20211002T10Z,13747
20211002T09Z,22019,20211002T09Z,13824
20211002T08Z,22302,20211002T08Z,14060
20211002T07Z,23011,20211002T07Z,14448
20211002T06Z,23367,20211002T06Z,15085
20211002T05Z,24219,20211002T05Z,16052
20211002T04Z,26017,20211002T04Z,17078
20211002T03Z,27691,20211002T03Z,18282
20211002T02Z,29402,20211002T02Z,19340
20211002T01Z,30935,20211002T01Z,20375
20211002T00Z,32061,20211002T00Z,21007
20211001T23Z,33616,20211001T23Z,22014
20211001T22Z,35225,20211001T22Z,22728
20211001T21Z,35572,20211001T21Z,22921
20211001T20Z,35289,20211001T20Z,22600
20211001T19Z,34510,20211001T19Z,21984
20211001T18Z,33162,20211001T18Z,21245
20211001T17Z,31514,20211001T17Z,20019
20211001T16Z,29497,20211001T16Z,18943
20211001T15Z,27655,20211001T15Z,18011
20211001T14Z,25959,20211001T14Z,17286
20211001T13Z,24761,20211001T13Z,16731
20211001T12Z,24302,20211001T12Z,16349
20211001T11Z,23694,20211001T11Z,15406
20211001T10Z,22522,20211001T10Z,14498
20211001T09Z,22274,20211001T09Z,14292
20211001T08Z,22322,20211001T08Z,14423
20211001T07Z,22690,20211001T07Z,14758
20211001T06Z,23610,20211001T06Z,15386
